Summary,Issue Type,Description,Assignee,Priority,Labels
"FPS-01 Tela de login do usuário",Task,"Como usuário do sistema, eu quero realizar login para acessar as funcionalidades do meu perfil. Critérios de aceite: autenticar com usuário e senha válidos; negar acesso com credenciais inválidas; redirecionar para dashboard após login.","Douglas Cerqueira",High,"mvp,auth"
"FPS-02 Dashboard com visão geral do sistema",Task,"Como administrador, eu quero visualizar métricas rápidas do sistema para acompanhar a operação. Critérios de aceite: exibir total de jogadores, times, campeonatos e partidas; exibir campeonatos recentes; restringir acesso a usuários autenticados.","Leonardo Souza",High,"mvp,dashboard"
"FPS-03 Cadastro de jogadores",Task,"Como administrador, eu quero cadastrar jogadores para montar times e campeonatos. Critérios de aceite: cadastrar nick, nome real e jogo principal; validar campos obrigatórios; impedir nick duplicado.","Douglas Cerqueira",High,"mvp,jogadores"
"FPS-04 Edição e remoção de jogadores",Task,"Como administrador, eu quero editar ou remover jogadores para manter os dados atualizados. Critérios de aceite: permitir edição; atualizar informações; remover jogador e refletir alteração no sistema.","Douglas Cerqueira",Medium,"jogadores"
"FPS-05 Cadastro de times",Task,"Como administrador, eu quero criar times com jogadores cadastrados para permitir inscrição em campeonatos. Critérios de aceite: selecionar jogadores existentes; salvar nome e tag do time; impedir criação inconsistente.","Leonardo Souza",High,"mvp,times"
"FPS-06 Cadastro de campeonatos",Task,"Como administrador, eu quero criar campeonatos para abrir inscrições e organizar partidas. Critérios de aceite: definir nome, jogo, datas e limite de equipes; validar datas; salvar campeonato com status inicial.","Jonathas Girardi",High,"mvp,campeonatos"
"FPS-07 Inscrição de times em campeonatos",Task,"Como operador, eu quero inscrever times em campeonatos abertos para confirmar participação. Critérios de aceite: permitir inscrição apenas em campeonatos abertos; impedir duplicidade; respeitar limite de vagas.","Lucas Câmera",High,"mvp,inscricao"
"FPS-08 Visualização de detalhes do campeonato",Task,"Como usuário, eu quero ver detalhes do campeonato para acompanhar o evento. Critérios de aceite: mostrar dados do campeonato; listar times inscritos; listar partidas relacionadas.","Leonardo Souza",High,"mvp,visualizacao"
"FPS-09 Registro de resultados de partidas",Task,"Como administrador, eu quero registrar resultados para manter o torneio atualizado. Critérios de aceite: salvar vencedor e placar; refletir status nas partidas; manter consistência dos dados.","Douglas Cerqueira",High,"mvp,partidas"
"FPS-10 Ranking geral de jogadores",Task,"Como usuário, eu quero visualizar o ranking para acompanhar o desempenho dos jogadores. Critérios de aceite: ordenar por desempenho; permitir consulta autenticada; exibir dados sem erro.","Lucas Câmera",Medium,"ranking"
"FPS-11 Relatórios por período",Task,"Como administrador, eu quero consultar campeonatos por período para apoiar acompanhamento operacional. Critérios de aceite: filtrar por data; exibir resultados coerentes; manter desempenho adequado.","Jonathas Girardi",Medium,"relatorios"
"FPS-12 Gestão de usuários do sistema",Task,"Como administrador, eu quero cadastrar usuários para controlar acessos e permissões. Critérios de aceite: criar usuário com perfil; impedir username duplicado; restringir acesso administrativo.","André Góes",Medium,"usuarios"
